Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1913,,,,,,,,,,,,,14.9,,
1914,,,,,,,,,,,,15.0,15.0,,
1915,,,,,,,,,,,,15.6,15.3,,
1916,,,,,,,,,,,,17.9,16.8,,
1917,,,,,,,,,,,,22.2,20.2,,
1918,,,,,,,,,,,,31.8,27.3,,
1919,,,,,,34.4,,,,,,42.6,36.2,,
1920,,,,,,45.0,,,,,,40.3,43.1,,
1921,,,,,34.7,,,,30.0,,,28.6,33.2,,
1922,,,27.3,,,26.8,,,26.6,,,26.6,27.0,,
1923,,,27.0,,,27.0,,,27.2,,,27.2,27.1,,
1924,,,27.1,,,26.9,,,26.6,,,26.4,26.8,,
1925,,,,,,26.4,,,,,,26.2,26.3,,
1926,,,,,,25.9,,,,,,25.7,25.9,,
1927,,,,,,25.4,,,,,,25.1,25.3,,
1928,,,,,,25.0,,,,,,24.9,25.0,,
1929,,,,,,24.7,,,,,,24.6,24.7,,
1930,,,,,,24.5,,,,,,23.5,24.2,,
1931,,,,,,22.2,,,,,,20.6,22.0,,
1932,,,,,,19.5,,,,,,18.6,19.5,,
1933,,,,,,18.2,,,,,,20.2,18.8,,
1934,,,,,,20.7,,,,,20.7,,20.6,,
1935,,,20.8,,,,20.7,,,20.9,,,20.8,,
1936,21.0,,,21.0,,,20.9,,21.0,,,21.3,21.0,,
1937,,,21.7,,,22.0,,,22.5,,,22.5,22.0,,
1938,,,22.1,,,21.9,,,21.7,,,21.7,21.9,,
1939,,,21.6,,,21.6,,,21.6,,,21.7,21.6,,
1940,,,21.9,,,21.8,,,21.8,21.8,21.8,21.8,21.8,,
1941,21.6,21.6,21.9,22.0,22.0,22.2,22.5,22.9,23.8,24.2,24.5,24.6,22.8,,
1942,24.9,25.5,26.6,27.2,27.1,26.9,26.9,26.9,27.1,27.1,27.1,27.1,26.7,,
1943,27.1,27.1,27.4,27.5,27.5,27.5,27.7,27.8,28.4,28.6,28.7,29.0,27.8,,
1944,29.0,29.1,29.4,29.5,29.5,29.7,29.7,30.0,30.3,30.4,30.5,30.6,29.8,,
1945,30.7,30.8,30.8,30.9,31.0,31.2,31.4,31.5,31.9,31.9,31.9,32.1,31.4,,
1946,32.2,32.3,32.9,33.2,33.4,33.7,34.1,34.6,35.6,36.1,36.7,37.9,34.4,,
1947,38.4,38.9,39.5,39.7,39.7,39.9,39.6,39.9,40.3,40.6,40.8,41.0,39.9,,
1948,41.3,41.9,42.1,42.2,42.4,42.3,42.3,42.9,43.1,43.3,43.2,43.1,42.5,,
1949,42.2,41.9,41.7,41.3,41.1,40.9,40.5,40.2,40.2,40.1,40.0,39.9,40.8,,
1950,39.7,39.7,39.8,39.7,39.6,39.6,39.6,39.9,40.7,41.4,41.7,42.0,40.3,,
1951,42.6,43.4,43.6,43.7,43.8,43.8,43.7,43.7,44.9,44.9,44.6,44.4,43.9,,
1952,43.9,43.9,43.7,43.5,43.5,43.4,43.2,43.1,43.5,43.4,43.2,43.1,43.5,,
1953,43.0,43.0,43.0,43.0,43.1,43.1,43.1,43.0,43.4,43.5,43.5,43.4,43.1,,
1954,43.2,43.1,43.0,42.9,43.0,43.0,42.9,42.8,43.0,43.1,43.1,43.1,43.1,,
