Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1993,84.3,84.3,84.4,84.3,84.5,84.5,84.8,85.6,87.0,87.2,87.3,87.4,85.5,84.4,86.6
1994,87.5,87.9,87.8,87.8,87.9,88.1,88.2,89.0,90.2,90.3,90.3,90.3,88.8,87.8,89.7
1995,91.3,91.3,91.2,91.2,91.1,91.3,91.5,92.4,93.7,93.7,93.7,93.9,92.2,91.2,93.2
1996,94.1,94.2,94.4,93.9,94.4,94.6,94.7,95.7,96.8,97.0,97.0,97.1,95.3,94.3,96.4
1997,97.4,97.5,97.5,97.5,97.6,97.7,97.9,98.6,99.7,99.9,100.0,100.0,98.4,97.5,99.4
1998,99.9,99.8,99.9,99.9,100.1,100.1,100.0,100.1,100.9,101.0,101.0,100.7,100.3,100.0,100.6
1999,100.9,100.9,100.8,100.7,100.4,100.3,100.4,101.2,101.9,102.1,102.2,102.3,101.2,100.7,101.7
2000,102.7,102.2,102.0,101.8,101.8,101.5,102.0,102.8,102.9,103.6,103.2,103.6,102.5,102.0,103.0
2001,103.9,104.0,104.3,104.1,104.0,104.4,104.8,105.8,106.6,107.1,107.0,106.9,105.2,104.1,106.4
2002,107.2,107.3,106.6,106.2,106.6,106.9,107.6,108.9,109.5,109.4,109.3,109.2,107.9,106.8,109.0
2003,109.7,109.7,109.4,109.0,108.6,108.5,108.9,110.1,110.9,110.9,110.8,110.9,109.8,109.2,110.4
2004,111.1,111.2,111.1,110.9,110.6,110.8,110.9,111.7,112.9,112.5,112.7,112.6,111.6,111.0,112.2
2005,112.7,112.8,112.7,112.9,112.7,112.8,112.9,113.7,115.3,115.1,115.3,115.3,113.7,112.8,114.6
2006,115.7,115.7,115.6,115.8,115.7,115.9,116.3,117.5,118.4,118.5,118.1,118.0,116.8,115.7,117.8
2007,117.815,117.971,118.231,118.301,118.787,118.734,119.025,120.311,121.273,121.557,121.409,121.506,119.577,118.307,120.847
2008,121.762,121.766,121.832,122.073,122.348,122.828,123.445,124.653,125.505,125.686,125.758,125.921,123.631,122.101,125.161
2009,126.151,126.190,126.187,126.273,126.467,126.519,126.914,128.128,129.035,129.128,128.845,128.883,127.393,126.298,128.489
2010,129.072,129.105,129.236,129.344,129.270,129.263,129.586,130.599,131.154,130.959,130.894,130.548,129.919,129.215,130.623
2011,130.665,130.692,130.682,130.643,130.600,130.568,130.859,132.028,132.627,132.755,132.750,132.728,131.466,130.642,132.291
2012,133.067,133.199,133.235,133.284,133.470,133.456,133.546,134.039,134.639,134.767,134.736,134.694,133.844,133.285,134.403
2013,135.225,135.517,135.625,135.230,135.204,135.098,135.334,136.119,136.723,136.860,136.844,136.857,135.886,135.317,136.456
2014,137.005,137.045,137.125,137.279,137.244,137.279,137.499,138.139,138.474,138.008,137.708,137.410,137.518,137.163,137.873
2015,137.604,137.560,137.564,137.707,137.400,137.425,137.600,138.291,139.092,139.344,139.527,139.388,138.209,137.543,138.874
2016,139.481,139.236,139.279,139.316,138.971,138.898,138.790,139.311,139.176,138.979,139.086,139.076,139.133,139.197,139.070
2017,139.041,138.796,136.234,135.781,135.563,135.497,135.388,135.702,136.189,136.502,136.717,136.671,136.507,136.819,136.195
2018,136.635,136.327,136.029,135.943,136.261,136.535,136.770,137.336,137.868,137.776,136.981,136.976,136.786,136.288,137.285
2019,137.055,137.168,137.082,137.182,137.199,137.344,137.595,138.154,138.409,138.529,138.920,138.839,137.790,137.172,138.408
2020,139.132,139.256,139.199,139.378,139.340,139.258,140.794,141.320,141.369,141.469,141.534,141.549,140.300,139.261,141.339
2021,141.556,141.679,141.289,141.742,142.002,142.174,142.386,143.011,143.807,143.974,143.884,143.844,142.612,141.740,143.484
2022,143.876,143.913,143.475,143.212,143.108,143.335,143.150,143.687,144.089,143.988,144.852,144.922,143.801,143.487,144.115
2023,145.336,145.407,145.481,145.449,145.205,144.900,144.919,145.174,145.598,145.295,144.743,144.806,145.193,145.296,145.089
2024,145.370,145.966,145.822,146.040,145.955,145.902,146.189,146.643,146.928,146.451,145.790,145.696,146.063,145.843,146.283
2025,146.082,146.449,146.621,146.354,146.395,146.592,146.696,147.152,147.501,,,,,146.416,
