Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1967,34.4,34.5,34.5,34.6,34.7,34.8,35,35.3,35.5,35.6,35.8,35.9,35.1,,
1968,36.1,36.1,36.5,36.5,36.6,36.9,36.9,37.1,37.2,37.4,37.6,37.7,36.9,,
1969,37.8,37.8,38,38.1,38.2,38.5,38.8,39,39.3,39.4,39.7,39.8,38.7,,
1970,39.9,40,40.2,40.5,40.6,40.9,41.2,41.3,41.5,41.6,41.8,41.9,40.9,,
1971,42.2,42.2,42.3,42.4,42.5,42.6,42.9,43.1,43.5,43.6,43.6,43.7,42.9,,
1972,43.9,44.2,44.3,44.4,44.6,44.8,44.8,44.8,45,45.2,45.2,45.3,44.7,,
1973,45.4,45.5,45.8,46,46.2,46.4,46.5,46.6,46.9,47.1,47.4,47.5,46.4,,
1974,47.7,47.9,48.2,48.4,48.9,49.4,50,50.3,50.9,51.4,51.9,52.4,49.8,,
1975,52.7,53.1,53.3,53.5,53.6,53.7,53.9,54,54.4,54.7,54.9,55.3,53.9,,
1976,55.7,56.1,56.2,56.4,56.6,56.8,56.9,57.1,57.6,58,58.4,58.6,57,,
1977,59,59.2,59.3,59.5,59.7,60,60.2,60.4,61.1,61.7,62.1,62.3,60.4,,
1978,62.6,62.7,62.9,63,63.2,63.4,64.2,64.5,65.8,66,66.2,66.3,64.3,,
1979,66.8,67.3,67.6,67.7,68,68.2,68.4,69.1,70.7,70.9,71.1,71.5,68.9,,
1980,72.3,72.9,73.2,73.5,74,74.5,74.8,75.2,77.3,77.6,78.1,78.7,75.2,,
1981,79.3,79.7,80.2,80.6,81.4,81.8,82.2,82.6,85.2,86,86.2,86.5,82.6,,
1982,87.1,87.7,88.4,89,89.4,89.7,90.2,90.5,93.5,95.1,96,97,91.1,,
1983,98.1,98.7,98.8,99.3,99.4,99.7,100.8,101.3,103.2,104,104.5,104.7,101.1,,
1984,105.3,105.7,105.9,106.1,106.3,106.7,107.4,107.7,110.3,110.7,110.9,111,107.9,106,109.7
1985,111.9,112.3,112.6,112.8,113,113.2,113.9,114.3,116.8,117.4,117.5,118,114.5,112.6,116.3
1986,118.9,119.3,119.6,119.8,119.9,120.1,120.9,121.4,123.8,124.3,124.4,124.5,121.4,119.6,123.2
1987,125.5,126.1,126.3,126.6,126.9,127.2,128,128.5,131.1,131.6,131.8,132.1,128.5,126.4,130.5
1988,133.4,134.2,134.6,134.8,135.1,135.5,136.5,137.5,140,140.6,141,141.3,137,134.6,139.5
1989,143.4,144.1,144.4,144.7,145.4,146.3,147.3,148.7,151.2,151.8,151.9,152.9,147.7,144.7,150.6
1990,154,154.7,155.2,155.8,156.6,157.8,159.2,160.4,162.6,163.2,163.6,164.5,159,155.7,162.3
1991,166.5,167.4,167.9,168.8,169.1,170,170.8,172.2,175.8,176.2,176.9,177.6,171.6,168.3,174.9
