Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1993,89.5,89.9,90.3,90.6,90.2,90.6,90.5,90.8,91.2,91.6,91.7,91.7,90.7,90.2,91.3
1994,92.1,92.4,92.6,92.7,92.7,92.6,92.7,92.6,92.8,92.9,93.2,93,92.7,92.5,92.9
1995,93.5,93.8,93.9,94.4,94.5,94.2,94.3,94.6,95,95.1,95.5,95.6,94.5,94.1,95
1996,96,96.8,96.9,97.1,97.1,97.3,97.5,97.6,97.8,98.1,98.4,98.5,97.4,96.9,98
1997,98.8,99.2,99.4,99.3,99.4,99.8,99.8,100,99.9,100,100,100,99.6,99.3,100
1998,100.3,100.7,101,101.1,101,101.2,101.1,101.3,101.3,101.1,101.3,101.2,101.1,100.9,101.2
1999,101.7,101.8,101.8,102,102.2,102.2,102.2,102.2,101.7,101.8,101.9,102,102,102,102
2000,102.3,102.5,102.9,102.9,103.1,103.4,103.7,103.9,103.8,103.8,103.7,103.7,103.3,102.9,103.8
2001,104.1,104.3,104.3,105,105,104.8,105,105.1,105.2,105.3,105.5,105.3,104.9,104.6,105.2
2002,105.7,105.9,106.1,106.5,106.4,106.2,106.2,106.3,106.2,106.4,106.4,106.5,106.2,106.1,106.3
2003,106.9,107.2,107.4,107.4,107.6,107.6,107.7,107.7,107.7,107.6,107.8,107.7,107.5,107.4,107.7
2004,107.9,108.4,108.8,109,108.8,108.9,108.7,108.5,108.6,108.7,108.7,108.5,108.6,108.6,108.6
2005,108.9,109,109,109.2,109.5,109.1,109.1,109.3,109.7,109.9,109.8,109.7,109.4,109.1,109.6
2006,109.9,110.2,110.6,111.1,111.2,111.2,111.3,111.3,111.1,111.2,111.2,110.8,110.9,110.7,111.2
2007,111.012,111.174,111.244,111.481,111.659,111.563,111.347,111.139,111.4,111.753,111.842,111.705,111.443,111.356,111.531
2008,112.083,112.365,112.731,112.874,112.987,112.991,113.277,113.786,114.032,114.169,114.078,113.674,113.254,112.672,113.836
2009,113.822,114.461,114.625,114.261,114.264,114.643,114.619,114.755,114.629,114.157,113.82,113.212,114.272,114.346,114.199
2010,113.31,113.345,113.339,113.781,113.684,113.802,113.689,113.521,113.12,112.984,112.839,112.345,113.313,113.544,113.083
2011,112.638,113.183,113.261,113.368,113.659,113.654,113.492,113.592,113.44,113.27,113.232,113.499,113.357,113.294,113.421
2012,114.183,114.333,114.675,114.656,114.689,115.08,114.944,114.929,114.963,114.774,114.763,114.442,114.703,114.603,114.803
2013,114.816,115.35,115.386,115.359,115.57,115.407,115.384,115.336,115.203,115.202,115.325,114.855,115.266,115.315,115.218
2014,115.275,115.656,115.763,116.042,116.018,116.037,115.838,115.311,115.286,115.394,115.026,114.875,115.543,115.799,115.288
2015,115.288,115.593,115.835,116.045,116.19,116.395,116.355,116.084,116.024,116.1,115.763,115.625,115.941,115.891,115.992
2016,116.062,116.631,117.071,117.515,117.512,117.582,117.358,117.119,116.945,116.713,116.746,116.559,116.984,117.062,116.907
2017,117.337,118.375,118.573,118.639,118.577,118.518,118.863,118.875,118.87,118.663,118.42,118.336,118.504,118.337,118.671
2018,118.647,119.093,119.281,118.966,118.851,119.145,119.272,118.972,119.163,118.85,119.147,119.705,119.091,118.997,119.185
2019,120.265,120.306,120.743,120.821,120.254,120.145,120.128,120.458,120.357,120.982,121.381,121.545,120.615,120.422,120.809
2020,121.986,122.067,122.265,121.935,122.779,122.015,121.304,122.074,122.188,122.581,123.016,122.692,122.242,122.175,122.309
2021,122.14,123.021,123.567,124.546,124.769,124.893,125.588,126.245,126.438,127.301,126.952,126.695,125.18,123.823,126.537
2022,127.937,129.116,129.437,129.892,130.36,130.677,131.087,131.437,131.581,132.49,132.965,133.172,130.846,129.57,132.122
2023,134.077,135.519,135.693,136.375,136.28,136.3,136.401,136.102,136.687,136.726,136.292,136.811,136.105,135.707,136.503
2024,137.8,138.322,138.183,138.412,138.118,138.115,138.277,138.214,137.651,138.12,138.341,138.343,138.158,138.158,138.158
2025,140.059,140.788,140.74,140.627,140.63,140.961,141.587,141.394,141.827,,,,,140.634,
