Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1935,,,14.2,,,,14.3,,,14.1,,,14.2,,
1936,14.1,,,14.3,,,14.3,,14.3,,,14.3,14.3,,
1937,,,14.5,,,14.5,,,14.6,,,14.7,14.5,,
1938,,,14.7,,,14.7,,,14.7,,,14.4,14.6,,
1939,,,14.3,,,14.3,,,14.3,,,14.3,14.3,,
1940,,,14.3,,,14.1,,,14.2,,,14.3,14.2,,
1941,,,14.3,,,14.6,,,14.8,,,15.4,14.7,,
1942,,,16,,,16.1,,,16,,,16,16,,
1943,,,16,,,15.9,,,15.9,,,15.9,15.9,,
1944,,,15.9,,,15.9,,,15.9,,,15.9,15.9,,
1945,,,15.9,,,15.9,,,15.9,,,15.9,15.9,,
1946,,,16,,,16.2,,,17.5,,,17.9,16.7,,
1947,17.9,17.9,18.1,18.2,18.3,18.3,18.4,18.5,18.7,18.9,19,19.2,18.5,,
1948,19.5,19.6,19.6,19.8,19.8,19.9,21,21.4,21.5,21.6,21.6,21.6,20.6,,
1949,21.6,21.8,21.9,22,22.1,22,22.1,22.3,22.3,22.4,22.4,22.5,22.1,,
1950,22.5,22.4,22.4,22.3,22.4,22.4,22.7,22.9,23,22.9,23,23.3,22.7,,
1951,23.4,23.6,23.8,23.9,24,24,24,24.2,24.4,24.6,24.9,24.9,24.1,,
1952,25,25.2,25.4,25.4,25.5,25.7,25.9,25.9,26,26.2,26.3,26.3,25.7,,
1953,26.4,26.3,26.4,26.4,26.4,26.4,26.5,26.6,26.7,26.7,26.5,26.3,26.5,,
1954,26.6,26.4,26.3,26.3,26.3,26.3,25.8,25.8,25.8,25.5,26,25.9,26.1,,
1955,26,26,25.9,25.5,25.6,25.6,25.6,25.6,25.5,25.8,26.2,25.9,25.8,,
1956,25.9,25.9,25.8,25.8,25.9,25.9,26,26.2,26.2,27,27.1,27.1,26.2,,
1957,27.2,27.4,27.5,27.6,27.5,27.5,27.7,27.7,27.7,27.7,28.5,28.3,27.7,,
1958,28.2,28.2,28.2,28.2,28.2,28.3,28.6,28.7,28.8,29.1,29.4,29.4,28.6,,
1959,29.4,29.4,29.5,29.6,29.6,29.7,29.8,29.9,29.8,30.2,30.3,30.3,29.8,,
