Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2000,997,1044,1039,1020,1024
2001,1047,1062,1079,1060,1061
2002,1060,1105,1101,1125,1096
2003,1104,1137,1132,1124,1126
2004,1149,1142,1159,1161,1153
2005,1176,1174,1157,1200,1173
2006,1215,1217,1171,1217,1203
2007,1206,1220,1254,1259,1236
2008,1259,1298,1333,1272,1287
2009,1326,1332,1336,1309,1328
2010,1361,1341,1368,1334,1351
2011,1336,1344,1354,1351,1346
2012,1367,1368,1381,1379,1373
2013,1412,1387,1365,1394,1389
2014,1419,1377,1359,1401,1386
2015,1393,1377,1394,1445,1403
2016,1435,1425,1447,1476,1444
2017,1471,1451,1470,1487,1470
2018,1533,1512,1487,1544,1521
2019,1574,1561,1559,1571,1567
2020,1603,1619,1636,1627,1624
2021,1667,1641,1661,1663,1658
2022,1748,1743,1769,1761,1755
2023,1855,1787,1864,1816,1837
2024,1899,1897,1916,1894,1901
2025,1961,1912,,,
