Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2000,825,811,826,840,827
2001,854,846,868,863,858
2002,881,868,888,869,877
2003,903,902,892,901,900
2004,926,902,908,925,916
2005,931,920,941,958,937
2006,933,968,979,966,962
2007,956,1014,993,994,987
2008,1012,999,1020,1016,1012
2009,1024,1031,1026,1020,1025
2010,1024,1032,1044,1049,1038
2011,1054,1043,1047,1071,1053
2012,1051,1070,1071,1071,1066
2013,1095,1101,1101,1131,1108
2014,1102,1098,1068,1131,1101
2015,1134,1130,1143,1143,1137
2016,1155,1155,1152,1161,1156
2017,1179,1189,1164,1170,1173
2018,1169,1187,1232,1205,1198
2019,1213,1236,1281,1259,1248
2020,1263,1303,1355,1283,1305
2021,1296,1314,1358,1351,1334
2022,1395,1441,1452,1435,1432
2023,1488,1467,1499,1509,1493
2024,1551,1541,1533,1547,1543
2025,1603,1559,,,
