Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
1979,,,,,282
1980,,,,,304
1981,,,,,324
1982,,,,,351
1983,,,,,363
1984,,,,,382
1985,,,,,399
1986,,,,,409
1987,,,,,421
1988,,,,,430
1989,,,,,452
1990,,,,,476
1991,,,,,489
1992,,,,,484
1993,,,,,494
1994,,,,,499
1995,,,,,508
1996,,,,,518
1997,,,,,535
1998,,,,,558
1999,,,,,580
2000,590,592,600,600,596
2001,607,614,621,628,617
2002,630,634,622,631,629
2003,635,638,634,648,639
2004,649,664,661,667,661
2005,667,661,678,674,670
2006,691,676,701,700,692
2007,710,704,707,697,704
2008,715,727,725,719,722
2009,726,719,720,735,726
2010,738,737,732,727,734
2011,736,743,731,744,739
2012,754,754,736,752,749
2013,741,751,747,752,748
2014,756,757,762,771,761
2015,758,757,773,757,762
2016,782,767,779,790,779
2017,791,799,801,800,798
2018,808,825,826,853,826
2019,835,848,874,870,856
2020,879,904,914,917,903
2021,912,915,942,931,925
2022,938,961,993,983,969
2023,995,1010,1012,1058,1016
2024,1027,1057,1053,1089,1056
2025,1096,1086,,,
